year_stocktake,year,total_emission,ff_emission,temp_anth,temp_anth_rel
2025,1825,0.24199999999999997,0.01699999999999996,,
2025,1826,0.24449479166666668,0.017494791666666676,,
2025,1827,0.25,0.017999999999999988,,
2025,1828,0.256,0.018000000000000016,,
2025,1829,0.26496875,0.02096874999999998,,
2025,1830,0.2725052083333333,0.023505208333333305,,
2025,1831,0.27599999999999997,0.022999999999999965,,
2025,1832,0.2814947916666667,0.02349479166666668,,
2025,1833,0.28400000000000003,0.02400000000000002,,
2025,1834,0.2874947916666667,0.024494791666666682,,
2025,1835,0.2959791666666667,0.026979166666666665,,
2025,1836,0.302,0.02899999999999997,,
2025,1837,0.3024947916666667,0.029494791666666687,,
2025,1838,0.31049479166666666,0.030494791666666632,,
2025,1839,0.3139895833333333,0.03198958333333335,,
2025,1840,0.31749479166666666,0.03349479166666669,,
2025,1841,0.32298958333333333,0.03498958333333335,,
2025,1842,0.3324947916666667,0.03649479166666669,,
2025,1843,0.3399895833333333,0.0379895833333333,,
2025,1844,0.34597916666666667,0.04097916666666668,,
2025,1845,0.35000000000000003,0.04300000000000004,,
2025,1846,0.35448437499999996,0.044484374999999965,,
2025,1847,0.35849479166666665,0.046494791666666646,,
2025,1848,0.36348437499999997,0.04848437499999997,,
2025,1849,0.23813972766666663,0.05197916666666663,,
2025,1850,0.10788747399999998,0.05399999999999999,287.23934343770975,0.041753100860603354
2025,1851,-0.020334886999999968,0.05548437500000003,287.2412636774893,0.04367334064016859
2025,1852,-0.15197006366666665,0.05798958333333332,287.2432647361882,0.045674399339077354
2025,1853,-0.2815857643333333,0.06394791666666666,287.2452462412052,0.04765590435607692
2025,1854,-0.2777123416666667,0.06998958333333327,287.24661071154844,0.0490203746992961
2025,1855,-0.2803962096666667,0.07347395833333337,287.2477805109472,0.05019017409807702
2025,1856,-0.28754362033333336,0.07649479166666673,287.2497243906134,0.05213405376423452
2025,1857,-0.2887118633333333,0.07749479166666673,287.2518095694741,0.0542192326249733
2025,1858,-0.2869009406666667,0.08047395833333337,287.2536551091161,0.05606477226695006
2025,1859,-0.2420179326666667,0.08695833333333336,287.2548415901564,0.05725125330724268
2025,1860,-0.19846503533333337,0.09297916666666667,287.25569785813747,0.05810752128832064
2025,1861,-0.15678912466666672,0.09598958333333335,287.25676417271006,0.059173835860917734
2025,1862,-0.11551624133333338,0.10046354166666666,287.25745644879095,0.05986611194180114
2025,1863,-0.06708909466666668,0.10795833333333332,287.2586329909426,0.06104265409345544
2025,1864,-0.05808497833333337,0.11546354166666667,287.2593541199116,0.06176378306247443
2025,1865,-0.04756523700000004,0.12048437499999998,287.2597677862093,0.06217744936014924
2025,1866,-0.03359237066666665,0.12595833333333334,287.26202687866896,0.06443654181981628
2025,1867,-0.02257783666666663,0.13247395833333336,287.2641618653645,0.06657152851533965
2025,1868,-0.012089345333333279,0.1384635416666667,287.2635684427591,0.06597810590994868
2025,1869,-0.16798924766666662,0.14447395833333332,287.257667068787,0.06007673193784058
2025,1870,-0.33048747800000006,0.15145312499999997,287.2519938578105,0.05440352096132983
2025,1871,-0.4815736216666666,0.16441145833333337,287.24862498247603,0.05103464562688487
2025,1872,-0.6281539276666668,0.1784427083333333,287.2461279152021,0.04853757835297756
2025,1873,-0.7877231876666666,0.17905208333333333,287.24412087074774,0.046530533898589965
2025,1874,-0.7741846746666666,0.18092708333333318,287.24260413205354,0.04501379520439741
