year_stocktake,year,total_emission,ff_emission,temp_anth,temp_anth_rel
2020,1930,2.9690000000000003,1.072,288.0548828289071,0.1723446579355823
2020,1931,3.057,0.9560000000000001,288.0572386714508,0.17470050047927543
2020,1932,3.0759999999999996,0.8619999999999997,288.0678517176371,0.18531354666555444
2020,1933,3.357,0.9070000000000003,288.0813471455396,0.1988089745680668
2020,1934,3.51,0.9859999999999998,288.09040463235993,0.2078664613883916
2020,1935,3.4699999999999998,1.0339999999999998,288.09359483966927,0.21105666869772222
2020,1936,3.545,1.1359999999999997,288.10125376926965,0.21871559829810394
2020,1937,3.585,1.214,288.109512853156,0.22697468218444783
2020,1938,3.475,1.1420000000000001,288.12295991333264,0.24042174236109304
2020,1939,3.452,1.208,288.12944960192425,0.24691143095270718
2020,1940,3.4859999999999998,1.3209999999999997,288.1331512887424,0.25061311777085393
2020,1941,3.3850000000000002,1.35,288.13377256834264,0.25123439737109265
2020,1942,3.3310000000000004,1.3450000000000004,288.13659516659163,0.25405699562008976
2020,1943,3.244,1.368,288.1434265382408,0.2608883672692741
2020,1944,3.156,1.391,288.1485477231647,0.266009552193168
2020,1945,2.912,1.156,288.15749190398554,0.2749537330140015
2020,1946,3.11,1.2619999999999998,288.1625502269318,0.2800120559602419
2020,1947,3.246,1.397,288.163819363733,0.2812811927614689
2020,1948,3.411,1.469,288.16732438889323,0.2847862179216918
2020,1949,2.9949999999999997,1.4269999999999996,288.1678559264302,0.28531775545866367
2020,1950,3.0040000000000004,1.6090000000000004,288.1668865377434,0.2843483667718374
2020,1951,2.8240000000000003,1.7350000000000003,288.16873088090546,0.2861927099339141
2020,1952,2.6119999999999997,1.7579999999999998,288.1704084494711,0.28787027849955393
2020,1953,2.384,1.807,288.1655880182934,0.28304984732187677
2020,1954,2.742,1.8450000000000002,288.16496976083107,0.2824315898595273
2020,1955,3.0889999999999995,2.0219999999999994,288.1635404253692,0.2810022543976629
2020,1956,3.3489999999999998,2.1529999999999996,288.1544478903413,0.2719097193697735
2020,1957,3.539,2.224,288.1501912311288,0.2676530601572722
2020,1958,3.5700000000000003,2.2870000000000004,288.15175662681975,0.26921845584820403
2020,1959,3.514,2.4149999999999996,288.1459840006559,0.2634458296843718
2020,1960,3.302,2.548,288.13776273065724,0.25522455968570057
2020,1961,3.1319999999999997,2.5529999999999995,288.1294095038324,0.24687133286084872
2020,1962,3.0880000000000005,2.6440000000000006,288.1365676109136,0.2540294399420304
2020,1963,3.2860000000000005,2.7940000000000005,288.13967926639486,0.25714109542332153
2020,1964,3.5909999999999997,2.9389999999999996,288.14663150514565,0.2640933341741061
2020,1965,3.9290000000000003,3.0760000000000005,288.15759519257756,0.27505702160601686
2020,1966,4.344,3.2190000000000007,288.17297047739095,0.29043230641940454
2020,1967,4.73,3.3220000000000005,288.1760484546834,0.2935102837118393
2020,1968,5.216,3.503,288.1827737466185,0.30023557564697967
2020,1969,6.364,3.737,288.18181806812237,0.29927989715082504
2020,1970,7.7829999999999995,4.046999999999999,288.1871883904982,0.30465021952664983
2020,1971,8.948,4.210000000000001,288.1966399034629,0.31410173249133777
2020,1972,10.14,4.406,288.2129686776844,0.3304305067128439
2020,1973,11.291,4.64,288.2232101825843,0.34067201161275307
2020,1974,11.563,4.620000000000001,288.22956124115575,0.34702307018420697
2020,1975,11.504000000000001,4.613000000000001,288.24274083137357,0.36020266040202387
2020,1976,11.747,4.858,288.257398365487,0.37486019451546326
2020,1977,11.989999999999998,4.990999999999998,288.2620723713982,0.3795342004266331
2020,1978,12.06,5.174000000000001,288.2694824650824,0.3869442941108332
2020,1979,11.679,5.312,288.2782036153839,0.39566544441237284
2020,1980,11.203,5.2860000000000005,288.3002272575074,0.4176890865358587
2020,1981,10.425,5.1419999999999995,288.3157458804333,0.433207709461783
2020,1982,9.74,5.104000000000001,288.3341714643291,0.45163329335753133
2020,1983,9.423,5.151999999999999,288.3565854251732,0.4740472542016505
2020,1984,9.42,5.3020000000000005,288.372492433516,0.4899542625444724
2020,1985,9.535,5.489999999999999,288.38418441725196,0.5016462462804157
2020,1986,9.743,5.568,288.4027130274784,0.5201748565068556
2020,1987,9.902,5.748999999999999,288.4268871964599,0.5443490254883727
2020,1988,10.058,5.967999999999998,288.4474677537277,0.5649295827561787
2020,1989,10.225999999999999,6.056999999999999,288.46093347521816,0.5783953042466123
2020,1990,10.241,6.195,288.48607540748236,0.6035372365108174
2020,1991,10.062999999999999,6.324,288.5081175665817,0.6255793956101456
2020,1992,9.517000000000001,6.126000000000001,288.5341679858885,0.6516298149169302
2020,1993,9.284,6.191000000000001,288.54586351234104,0.6633253413695002
2020,1994,9.019,6.235,288.5649449922565,0.6824068212849852
2020,1995,8.953,6.367999999999999,288.583961550862,0.701423379890457
2020,1996,9.132,6.563999999999999,288.5949817332905,0.7124435623189811
2020,1997,9.846,6.602000000000001,288.6055493152796,0.7230111443080318
2020,1998,9.187000000000001,6.581000000000001,288.6245593810425,0.7420212100709591
2020,1999,9.461,6.668,288.63904431767077,0.7565061466992233
2020,2000,10.006,6.856000000000002,288.6641123716787,0.7815742007071549
2020,2001,10.221,6.914,288.6926026083681,0.8100644373965338
2020,2002,10.91,7.072,288.71677961772855,0.8342414467570052
2020,2003,11.616,7.416999999999999,288.7335417994406,0.8510036284690727
2020,2004,12.038,7.7700000000000005,288.7531844082298,0.8706462372582564
2020,2005,12.364999999999998,8.026999999999997,288.7771546888855,0.8946165179139598
2020,2006,13.020999999999999,8.29,288.79867805490267,0.9161398839311232
2020,2007,12.787,8.541,288.8202014209199,0.9376632499483435
2020,2008,13.328,8.719,288.84172478693705,0.9591866159655069
2020,2009,13.597,8.587,288.86324815295427,0.9807099819827272
2020,2010,13.923,9.043000000000001,288.88477151897143,1.0022333479998906
2020,2011,13.842999999999998,9.336999999999998,288.90629488498865,1.0237567140171109
2020,2012,14.213000000000001,9.487,288.9278182510058,1.0452800800342743
2020,2013,14.070999999999998,9.549,288.94934161702304,1.0668034460514946
2020,2014,14.118,9.619,288.9708649830402,1.088326812068658
2020,2015,14.166999999999998,9.61,288.9923883490574,1.1098501780858783
2020,2016,14.038,9.613,289.0139117150746,1.1313735441030417
2020,2017,14.135000000000002,9.742,289.03543508109175,1.1528969101202051
2020,2018,14.371,9.94,289.05695844710897,1.1744202761374254
2020,2019,13.788,9.946,289.07848181312613,1.1959436421545888
2020,2020,12.078999999999999,9.279,289.10000517914335,1.217467008171809
2020,2021,11.575477991174768,9.568477991174769,,
2020,2022,11.08290205439815,9.92290205439815,,
2020,2023,10.601257324218754,10.241257324218754,,
2020,2024,10.13052893518519,9.77552893518519,,
2020,2025,9.670702021846072,9.321702021846072,,
2020,2026,9.221761718750008,8.877761718750008,,
2020,2027,8.78369316044561,8.445693160445611,,
2020,2028,8.356481481481492,8.024481481481493,,
2020,2029,7.94011181640626,7.42011181640626,,
2020,2030,7.534569299768529,6.8275692997685296,,
2020,2031,7.1398390661169095,6.24383906611691,,
2020,2032,6.755906250000011,5.670906250000011,,
2020,2033,6.382755985966447,5.108755985966446,,
2020,2034,6.0203734085648275,4.748373408564828,,
2020,2035,5.668743652343763,4.398743652343763,,
2020,2036,5.3278518518518645,4.060851851851864,,
2020,2037,4.997683141637744,3.7326831416377435,,
2020,2038,4.6782226562500115,3.4162226562500115,,
2020,2039,4.369455530237282,3.297455530237282,,
2020,2040,4.071366898148161,3.1893668981481613,,
2020,2041,3.783941894531262,3.093941894531262,,
2020,2042,3.507165653935198,3.009165653935198,,
2020,2043,3.2410233109085755,2.9350233109085755,,
2020,2044,2.9855000000000107,2.685500000000011,,
2020,2045,2.740580855758113,2.445580855758113,,
2020,2046,2.506251012731491,2.217251012731491,,
2020,2047,2.2824956054687604,1.9984956054687604,,
2020,2048,2.069299768518528,1.791299768518528,,
2020,2049,1.8666486364294066,1.5636486364294064,,
2020,2050,1.6745273437500092,1.3465273437500092,,
2020,2051,1.4929210250289433,1.1399210250289433,,
2020,2052,1.3218148148148217,0.9428148148148217,,
2020,2053,1.1611938476562589,0.7571938476562587,,
2020,2054,1.0110432581018571,0.6120432581018571,,
2020,2055,0.8713481807002363,0.4773481807002362,,
2020,2056,0.742093750000004,0.353093750000004,,
2020,2057,0.6232651005497711,0.23926510054977101,,
2020,2058,0.5148473668981541,0.13584736689815413,,
2020,2059,0.4168256835937516,-0.05817431640624848,,
2020,2060,0.3291851851851888,-0.24281481481481126,,
2020,2061,0.2519110062210679,-0.41708899377893216,,
2020,2062,0.18498828125000166,-0.5820117187499985,,
2020,2063,0.12840214482060475,-0.7355978551793954,,
2020,2064,0.08213773148148462,-0.7788622685185155,,
2020,2065,0.046180175781250554,-0.8118198242187495,,
2020,2066,0.020514612268520693,-0.8334853877314794,,
2020,2067,0.005126175491898977,-0.8458738245081011,,
2020,2068,1.7763568394002505e-15,-0.8479999999999983,,
